school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M
comm65,310,251,5,291,229,0.55961538461538463,4.0343642611683848,4.3755458515283845,9,10,0.65332197614991483,0.51397205588822359,0.65332197614991494,0.65332197614991494,0.51397205588795436,0.51397205588795436,0.0,0.0,0.5785354168268282,0.7781047255923299
comm66,317,335,3,301,289,0.51016949152542368,5.7906976744186043,5.6228373702422143,10,10,0.59839357429718876,0.55630769230769228,0.59839357429718876,0.59839357429718876,0.55630769230769217,0.55630769230769217,0.0,0.0,0.9991956387695351,0.7020783987825665
comm67,266,258,6,162,100,0.61832061068702293,2.6728395061728394,2.5699999999999998,8,9,0.75288683602771367,0.57587548638132302,0.75288683602771367,0.75288683602771367,0.57587548621971996,0.58717271990994413,0.0,0.11927541362899707,0.5375217273804451,0.1373708787349519
comm68,761,686,14,656,501,0.56698357821953327,3.538109756097561,3.662674650698603,10,9,0.67126238690219731,0.5340599455040872,0.67126238690219731,0.67367568799458111,0.53405994549213964,0.53405994549213964,0.015020322344689713,0.0,0.2635604438540132,0.8688550560956776
comm69,479,417,8,444,348,0.56060606060606055,5.4121621621621623,5.0344827586206895,10,10,0.6292134831460674,0.51255707762557079,0.62921348314606795,0.62921348314606795,0.51255707762548997,0.51255707762548997,0.0,0.0,0.9999616894824245,0.9825882281748731
comm7,234,221,2,221,189,0.53902439024390247,4.8461538461538458,5.0952380952380949,10,10,0.63398692810457524,0.57113187954309452,0.63398692810457535,0.63398692810457535,0.57113187954309452,0.58174133794860072,0.0,0.051604595524785704,0.955454172585914,0.07101061407515286
comm70,40,36,0,40,30,0.5714285714285714,5.4249999999999998,6.166666666666667,9,10,0.54377880184331806,0.54054054054054057,0.54377880184290184,0.54377880184290184,0.54054054053491452,0.54054054053491452,0.0,0.0,0.7719624393780098,0.9564580037172611
comm71,40,34,0,39,32,0.54929577464788737,6.1282051282051286,6.78125,10,10,0.64435146443514646,0.52995391705069128,0.64435146443513536,0.65006552043273791,0.52995391705069139,0.53986781718931576,0.021762664877334557,0.07357442640883495,0.3355174151053527,0.13052729410609765
comm72,148,210,0,131,180,0.4212218649517685,4.9847328244274811,5.3833333333333337,10,10,0.60796324655436451,0.60165118679050567,0.60796324655436451,0.60796324655436451,0.60165118679050567,0.60165118679050567,0.0,0.0,0.5908088422319442,0.6714054176756934
comm73,855,786,9,797,666,0.54477101845522902,5.4843161856963611,5.2657657657657655,10,10,0.62800274536719292,0.53093812375249505,0.62800274536719269,0.62800274536719269,0.53093812374229254,0.53093812374229254,0.0,0.0,0.9980562335547131,0.7453509755120618
comm74,343,384,3,253,227,0.52708333333333335,3.2450592885375493,3.7136563876651985,10,10,0.69183922046285018,0.59786476868327398,0.69183922046284929,0.69183922046284929,0.59786476868327387,0.59791019518900745,0.0,0.0004334767729615531,0.8237646893276928,0.4833291209633179
comm75,515,488,8,467,421,0.52590090090090091,5.6102783725910061,5.6840855106888357,10,10,0.59236641221374053,0.55745925616381109,0.59236641221374042,0.59236641221374042,0.55745925607419355,0.55745925607419355,0.0,0.0,0.9976887116863935,0.9913440567917039
comm76,24,19,1,23,16,0.58974358974358976,5.9130434782608692,5.0,9,9,0.58088235294117652,0.51249999999999996,0.58088235294117641,0.58088235294117641,0.51249999999999352,0.5142149973304101,0.0,0.029134687689123303,0.650137533589197,0.3530455206258696
comm77,12,13,0,12,12,0.5,6.083333333333333,5.75,9,8,0.50684931506849318,0.62318840579710144,0.50684931506810249,0.50684931506810249,0.62318840571326539,0.62318840571326539,0.0,0.0,0.5427731337321879,0.8803991396713668
comm78,215,218,3,189,178,0.51498637602179842,4.253968253968254,4.0168539325842696,10,10,0.68781094527363185,0.66713286713286712,0.68781094527363018,0.69331055151426424,0.66713286713286313,0.69018162263797167,0.023801581555810365,0.11643303037843052,0.24369491577210523,0.003874456241887758
comm79,627,602,6,552,491,0.52924256951102588,4.6431159420289854,4.7494908350305503,10,10,0.61880608661724545,0.55703259005145789,0.61880608661724501,0.61880608661724501,0.55703259005145811,0.55703259005145811,0.0,0.0,0.9571448382686955,0.7583249135570749
comm8,96,103,6,85,96,0.46961325966850831,5.1058823529411761,4.989583333333333,10,10,0.55299539170506917,0.58872651356993744,0.5529953915990824,0.5529953915990824,0.58872651356993733,0.58872651356993733,0.0,0.0,0.7783813826355047,0.7024173998709121
comm80,278,342,4,212,227,0.48291571753986334,3.7358490566037736,3.9427312775330399,10,9,0.68560606060606055,0.58994413407821222,0.68560606060605966,0.68560606060605966,0.58994413407821211,0.59104768710699485,0.0,0.005604839121853271,0.5769935858830249,0.43195622062054384
comm81,691,683,9,566,450,0.55708661417322836,3.7968197879858656,3.8133333333333335,10,10,0.63610981852024195,0.51282051282051277,0.63610981852024251,0.63610981852024251,0.51282051282047281,0.51284541213834889,0.0,0.00020951975836715824,0.9922232156057212,0.48835179365897663
comm82,449,495,2,419,395,0.51474201474201475,5.8782816229116941,5.5797468354430384,10,10,0.61104344295574509,0.52177858439201452,0.61104344295574498,0.61104344295574498,0.52177858438921532,0.52177858438921532,0.0,0.0,0.9999793392867302,0.9833100917162648
comm83,661,668,9,533,488,0.52203721841332029,3.8105065666041278,3.8012295081967213,10,10,0.62284588872476609,0.59245283018867934,0.62284588872476598,0.62284588872476598,0.59245283018867922,0.59565754883026867,0.0,0.025259459788534264,0.9874194972001367,0.18622552039088358
comm84,918,820,17,699,542,0.56325543916196619,3.218884120171674,3.1254612546125462,10,10,0.71333333333333326,0.5944510035419126,0.7133333333333316,0.71757713487845431,0.59445100341469093,0.60273398754567797,0.027012765673420674,0.06378814166436733,0.15764085507186654,0.032964895032208674
comm85,35,26,0,34,23,0.59649122807017541,5.6470588235294121,6.6086956521739131,10,10,0.71354166666666663,0.55921052631578949,0.71354166666624697,0.72918990104627024,0.5592105263157896,0.56749710615767279,0.047103476913220484,0.053876542517247446,0.21909177090248544,0.20657740133281388
comm9,127,125,3,113,103,0.52314814814814814,5.0176991150442474,5.4271844660194173,10,10,0.62433862433862441,0.56350626118067981,0.6243386243386243,0.6243386243386243,0.56350626108448831,0.56350626108448831,0.0,0.0,0.6247312361908949,0.8823376445238853
